iso_code,Overall Score,Rank,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties
NOR,9.87,1,10.0,9.64,10.0,10.0,9.71
ISL,9.58,2,10.0,9.29,8.89,10.0,9.71
SWE,9.39,3,9.58,9.64,8.33,10.0,9.41
NZL,9.26,4,10.0,9.29,8.89,8.13,10.0
FIN,9.25,5,10.0,8.93,8.89,8.75,9.71
IRL,9.24,6,10.0,7.86,8.33,10.0,10.0
DNK,9.22,7=,10.0,9.29,8.33,9.38,9.12
CAN,9.22,7=,9.58,9.64,7.78,9.38,9.71
AUS,9.09,9,10.0,8.93,7.78,8.75,10.0
CHE,9.03,10,9.58,9.29,7.78,9.38,9.12
NLD,9.01,11,9.58,9.29,8.33,8.75,9.12
LUX,8.81,12,10.0,8.93,6.67,8.75,9.71
DEU,8.68,13,9.58,8.57,8.33,7.5,9.41
GBR,8.52,14,9.58,7.5,8.89,7.5,9.12
URY,8.38,15,10.0,8.57,6.11,7.5,9.71
AUT,8.29,16=,9.58,7.86,8.33,6.88,8.82
ESP,8.29,16=,9.58,7.14,7.78,8.13,8.82
MUS,8.22,18,9.17,8.21,5.56,8.75,9.41
CRI,8.13,19,9.58,7.5,6.67,7.5,9.41
FRA,8.12,20,9.58,7.86,7.78,6.88,8.53
CHL,8.08,21,9.58,8.57,5.0,8.13,9.12
PRT,8.03,22,9.58,7.86,6.11,7.5,9.12
KOR,8.0,23,9.17,7.86,7.22,7.5,8.24
JPN,7.99,24,8.75,8.21,6.67,7.5,8.82
USA,7.96,25,9.17,7.14,7.78,7.5,8.24
MLT,7.95,26,9.17,7.5,6.11,8.13,8.82
EST,7.9,27,9.58,7.86,6.67,6.88,8.53
ISR,7.86,28,9.17,7.86,8.89,7.5,5.88
BWA,7.81,29,9.17,7.14,6.11,7.5,9.12
CPV,7.78,30,9.17,7.36,6.67,6.88,8.82
TWN,7.73,31,9.58,8.21,6.11,5.63,9.12
CZE,7.69,32,9.58,6.79,6.67,6.88,8.53
BEL,7.64,33,9.58,8.21,5.0,6.88,8.53
CYP,7.59,34,9.17,6.43,6.67,6.88,8.82
ITA,7.52,35,9.58,6.07,7.78,6.25,7.94
SVN,7.5,36=,9.58,6.79,6.67,6.25,8.24
LTU,7.5,36=,9.58,6.43,6.11,6.25,9.12
ERI,2.37,152,0.0,2.14,1.67,6.88,1.18
CHN,2.26,153,0.0,4.29,3.33,2.5,1.18
BDI,2.15,154,0.0,0.07,3.33,5.0,2.35
LAO,2.14,155,0.0,2.86,1.67,5.0,1.18
LBY,2.02,156,0.0,0.0,2.78,4.38,2.94
UZB,2.01,157,0.08,1.86,2.22,5.0,0.88
YEM,1.95,158,0.0,0.0,3.89,5.0,0.88
SAU,1.93,159=,0.0,2.86,2.22,3.13,1.47
TJK,1.93,159=,0.08,0.79,1.67,6.25,0.88
GNQ,1.92,161,0.0,0.43,3.33,4.38,1.47
TCA,1.72,162,0.0,0.79,2.22,5.0,0.59
TCD,1.61,163,0.0,0.0,1.67,3.75,2.65
SYR,1.43,164,0.0,0.0,2.78,4.38,0.0
CAF,1.32,165,1.25,0.0,1.11,1.88,2.35
COD,1.13,166,0.0,0.0,1.67,3.13,0.88
,1.08,167,0.0,2.5,1.67,1.25,0.0
LVA,7.49,38,9.58,6.07,6.11,6.88,8.82
GRC,7.43,39,9.58,4.86,6.67,7.5,8.53
ZAF,7.24,40,7.42,7.5,8.33,5.0,7.94
TLS,7.19,41,9.58,6.29,5.56,6.88,7.65
SVK,7.17,42,9.58,7.14,5.56,5.63,7.94
MYS,7.16,43=,9.17,7.86,6.67,6.25,5.88
TTO,7.16,43=,9.58,7.14,6.11,5.63,7.35
COL,7.13,45,9.17,6.79,5.56,5.63,8.53
PAN,7.05,46,9.58,6.07,6.67,5.0,7.94
BGR,7.03,47,9.17,6.43,7.22,4.38,7.94
ARG,7.02,48,9.17,5.36,6.11,6.25,8.24
SUR,6.98,49,9.17,6.43,6.67,5.0,7.65
JAM,6.96,50,8.75,7.14,4.44,6.25,8.24
IND,6.9,51,8.67,6.79,6.67,5.63,6.76
BRA,6.86,52,9.58,5.36,6.11,5.0,8.24
TUN,6.72,53,9.17,5.71,7.22,5.63,5.88
PHL,6.64,54,9.17,5.36,7.22,4.38,7.06
GHA,6.63,55=,8.33,5.71,6.67,6.25,6.18
HUN,6.63,55=,8.75,6.07,5.0,6.25,7.06
POL,6.62,57,9.17,6.07,6.11,4.38,7.35
PER,6.6,58,9.17,5.0,5.56,5.63,7.65
HRV,6.57,59,9.17,6.07,5.56,5.0,7.06
DOM,6.54,60=,9.17,5.36,6.11,5.0,7.06
LSO,6.54,60=,9.17,4.5,6.67,5.63,6.76
MNG,6.5,62,9.17,5.71,5.56,5.0,7.06
ROU,6.49,63,9.17,5.71,5.56,4.38,7.65
IDN,6.48,64,7.92,7.14,6.11,5.63,5.59
NAM,6.43,65,6.58,5.36,6.67,5.63,7.94
SRB,6.41,66,8.25,5.36,6.11,5.0,7.35
ECU,6.33,67,8.75,5.36,6.11,4.38,7.06
THA,6.32,68,7.42,5.36,6.11,6.25,6.47
LKA,6.27,69,7.0,6.07,5.56,6.25,6.47
PRY,6.24,70,8.75,5.71,5.0,4.38,7.35
SLV,6.15,71=,9.17,4.64,6.11,3.75,7.06
GUY,6.15,71=,6.92,5.36,6.11,5.0,7.35
MEX,6.09,73,7.83,6.07,7.22,3.13,6.18
PNG,6.03,74,6.92,6.07,3.89,5.63,7.65
HKG,6.02,75=,3.58,4.36,6.11,7.5,8.53
SGP,6.02,75=,3.92,7.86,5.0,6.25,7.06
,5.97,77,7.0,5.36,6.67,3.75,7.06
UKR,5.9,78,7.42,2.71,6.67,6.25,6.47
ALB,5.89,79,7.0,5.36,4.44,5.0,7.65
BGD,5.88,80,7.83,6.07,6.11,4.38,5.0
FJI,5.85,81,6.58,5.36,6.11,5.63,5.59
SEN,5.81,82,6.08,6.07,4.44,6.25,6.18
MDA,5.75,83,6.58,4.64,6.11,4.38,7.06
MNE,5.65,84,5.67,5.36,6.11,4.38,6.76
MDG,5.64,85,7.92,3.57,6.11,5.63,5.0
ARM,5.54,86,7.5,5.36,6.11,3.13,5.59
MWI,5.5,87,6.08,4.29,5.0,6.25,5.88
LBR,5.45,88,7.42,3.07,5.56,5.63,5.59
GEO,5.42,89=,7.83,3.21,6.11,4.38,5.59
HND,5.42,89=,7.83,4.29,4.44,4.38,6.18
BTN,5.3,91,8.75,6.79,2.78,4.38,3.82
NPL,5.28,92,4.83,5.36,5.0,5.63,5.59
GTM,5.26,93,6.92,4.64,3.89,4.38,6.47
KEN,5.18,94,3.5,5.71,6.67,5.63,4.41
TZA,5.16,95,5.75,5.0,5.0,5.63,4.41
MAR,5.1,96,5.25,4.64,5.56,5.63,4.41
BEN,5.09,97=,4.67,5.71,4.44,5.63,5.0
ZMB,5.09,97=,4.75,2.93,4.44,6.88,6.47
UGA,5.02,99,4.33,3.57,4.44,6.88,5.88
MLI,4.92,100,6.42,3.07,3.89,5.63,5.59
KGZ,4.89,101,6.08,2.93,6.67,3.75,5.0
BIH,4.86,102=,6.17,2.93,5.56,3.75,5.88
SLE,4.86,102=,6.58,2.86,3.33,6.25,5.29
BOL,4.84,104,4.75,3.93,5.0,3.75,6.76
HTI,4.57,105,4.75,2.07,3.89,6.25,5.88
LBN,4.36,106,3.92,1.5,6.67,5.0,4.71
GMB,4.33,107,4.0,4.29,3.33,5.63,4.41
PAK,4.25,108,6.08,5.71,2.22,2.5,4.71
NGA,4.12,109,5.17,3.93,3.33,3.75,4.41
TUR,4.09,110,3.08,5.0,5.0,5.0,2.35
CIV,4.05,111,4.33,2.86,3.33,5.63,4.12
BFA,4.04,112,3.92,2.71,4.44,5.0,4.12
DZA,4.01,113,3.08,2.86,5.0,5.0,4.12
JOR,3.93,114=,3.58,4.29,3.89,4.38,3.53
KWT,3.93,114=,3.58,4.29,3.89,4.38,3.53
MRT,3.92,116,3.5,3.57,5.0,3.13,4.41
PSE,3.89,117,3.33,0.14,7.78,4.38,3.82
IRQ,3.74,118,5.25,0.0,6.67,5.0,1.76
AGO,3.72,119,2.25,2.86,5.56,5.0,2.94
MOZ,3.65,120,2.58,2.14,5.0,5.0,3.53
GAB,3.61,121,2.58,2.21,4.44,5.0,3.82
MMR,3.55,122=,3.08,3.93,2.78,5.63,2.35
NIC,3.55,122=,1.25,2.86,3.89,5.63,4.12
KHM,3.53,124,0.83,4.64,3.33,5.63,3.24
ETH,3.44,125,0.42,3.57,5.56,5.0,2.65
TGO,3.3,126,3.17,1.79,3.33,5.0,3.24
NER,3.29,127,2.92,1.14,3.33,4.38,4.71
QAT,3.19,128,0.0,4.29,2.22,5.63,3.82
RWA,3.16,129=,1.42,4.29,2.78,4.38,2.94
ZWE,3.16,129=,0.0,2.5,4.44,5.63,3.24
COM,3.15,131,2.08,2.21,3.89,3.75,3.82
,3.14,132=,0.92,2.86,2.78,5.63,3.53
GIN,3.14,132=,3.5,0.43,4.44,4.38,2.94
COG,3.11,134=,2.17,2.5,3.89,3.75,3.24
RUS,3.11,134=,2.17,1.79,5.0,2.5,4.12
VNM,3.08,136,0.0,3.21,3.89,5.63,2.65
EGY,3.06,137=,2.67,3.21,3.33,3.75,2.35
OMN,3.06,137=,0.08,3.93,2.78,4.38,4.12
KAZ,2.94,139,0.5,2.14,4.44,4.38,3.24
VEN,2.88,140,0.0,1.79,5.0,4.38,3.24
AFG,2.85,141=,3.42,0.64,3.89,2.5,3.82
CMR,2.85,141=,1.67,2.5,3.33,4.38,2.35
CUB,2.84,143,0.0,3.57,3.33,4.38,2.94
DJI,2.77,144,0.42,1.29,3.89,5.63,2.65
ARE,2.76,145,0.0,3.93,2.22,5.0,2.65
AZE,2.75,146,0.5,3.21,2.78,3.75,3.53
SDN,2.7,147,0.0,1.79,5.56,5.0,1.18
GNB,2.63,148,4.92,0.0,2.78,3.13,2.35
BHR,2.55,149,0.83,2.71,2.78,4.38,2.06
BLR,2.48,150,0.92,2.0,2.78,4.38,2.35
IRN,2.38,151,0.0,2.86,4.44,3.13,1.47
